cat_id,name,breed,sex,color,birth_date,weight_kg,height_cm,city,vaccinated,sterilized,owner_id,weight_kg_filled,birth_year,birth_month,birth_dayofweek,weight_g,is_large,sex_code,weight_category,height_m,breed_key
CAT001,Лео,мейн-кун,кот,рыжий,2021-11-24,8.4,37.0,Томск,да,да,OWN001,8.4,2021.0,11.0,2.0,8400.0,True,M,крупный,0.37,мейн-кун
CAT002,Лео,британская короткошёрстная,кошка,рыжий,2016-09-04,4.4,31.0,Москва,да,нет,OWN006,4.4,2016.0,9.0,6.0,4400.0,False,F,средний,0.31,британская короткошёрстная
CAT003,Злата,шотландская вислоухая,кот,табби,2024-04-01,6.3,35.0,Москва,да,да,OWN011,6.3,2024.0,4.0,0.0,6300.0,True,M,крупный,0.35,шотландская вислоухая
CAT004,Мия,сибирская,кошка,табби,2024-09-06,5.2,33.0,Санкт-Петербург,нет,да,OWN016,5.2,2024.0,9.0,4.0,5200.0,False,F,средний,0.33,сибирская
CAT005,Кира,сиамская,кот,серый,2023-09-27,,29.0,Екатеринбург,нет,нет,OWN021,5.15,2023.0,9.0,2.0,,,M,нет данных,0.29,сиамская
CAT006,Плюша,канадский сфинкс,кошка,серебристый,2018-09-13,4.4,30.0,Томск,нет,да,OWN026,4.4,2018.0,9.0,3.0,4400.0,False,F,средний,0.3,канадский сфинкс
CAT007,Ириска,бенгальская,кот,белый,2018-05-07,4.9,32.0,Новосибирск,да,нет,OWN031,4.9,2018.0,5.0,0.0,4900.0,False,M,средний,0.32,бенгальская
CAT008,Том,персидская,кошка,чёрный,2020-10-22,3.3,26.0,Казань,да,да,OWN036,3.3,2020.0,10.0,3.0,3300.0,False,F,легкий,0.26,персидская
CAT009,Луна,рэгдолл,кот,рыжий,2016-08-13,5.3,33.0,Томск,да,да,OWN041,5.3,2016.0,8.0,5.0,5300.0,False,M,средний,0.33,рэгдолл
CAT010,Ника,абиссинская,кошка,,2019-06-26,3.6,29.0,Красноярск,нет,нет,OWN046,3.6,2019.0,6.0,2.0,3600.0,False,F,легкий,0.29,абиссинская
CAT011,Соня,русская голубая,кот,голубой,2019-03-23,4.7,32.0,Санкт-Петербург,нет,да,OWN051,4.7,2019.0,3.0,5.0,4700.0,False,M,средний,0.32,русская голубая
CAT012,Марта,норвежская лесная,кошка,белый,2023-04-07,7.8,39.0,Екатеринбург,нет,нет,OWN056,7.8,2023.0,4.0,4.0,7800.0,True,F,крупный,0.39,норвежская лесная
CAT013,Плюша,мейн-кун,кот,чёрный,2022-03-30,5.4,31.0,Томск,да,да,OWN061,5.4,2022.0,3.0,2.0,5400.0,False,M,средний,0.31,мейн-кун
CAT014,Луна,британская короткошёрстная,кошка,табби,2024-02-11,6.0,33.0,Новосибирск,да,да,,6.0,2024.0,2.0,6.0,6000.0,True,F,крупный,0.33,британская короткошёрстная
CAT015,Кира,шотландская вислоухая,кот,чёрный,2020-12-08,3.8,27.0,Новосибирск,да,нет,OWN071,3.8,2020.0,12.0,1.0,3800.0,False,M,легкий,0.27,шотландская вислоухая
CAT016,Марта,сибирская,кошка,чёрный,2022-03-31,4.1,29.0,Санкт-Петербург,нет,да,OWN076,4.1,2022.0,3.0,3.0,4100.0,False,F,средний,0.29,сибирская
CAT017,Ириска,сиамская,кот,кремовый,2023-12-06,3.4,26.0,Красноярск,нет,нет,OWN081,3.4,2023.0,12.0,2.0,3400.0,False,M,легкий,0.26,сиамская
CAT018,Персик,канадский сфинкс,кошка,черепаховый,,4.0,30.0,Москва,нет,да,OWN003,4.0,,,,4000.0,False,F,средний,0.3,канадский сфинкс
CAT019,Кира,бенгальская,кот,рыжий,2024-04-12,4.4,30.0,Новосибирск,да,да,OWN008,4.4,2024.0,4.0,4.0,4400.0,False,M,средний,0.3,бенгальская
CAT020,Соня,персидская,кошка,кремовый,2023-12-18,,30.0,Санкт-Петербург,да,нет,OWN013,5.15,2023.0,12.0,0.0,,,F,нет данных,0.3,персидская
CAT021,Кира,рэгдолл,кот,черепаховый,2024-05-17,5.0,32.0,Екатеринбург,да,да,OWN018,5.0,2024.0,5.0,4.0,5000.0,False,M,средний,0.32,рэгдолл
CAT022,Граф,абиссинская,кошка,кремовый,2018-03-13,5.3,30.0,Москва,нет,нет,OWN023,5.3,2018.0,3.0,1.0,5300.0,False,F,средний,0.3,абиссинская
CAT023,Ириска,русская голубая,кот,белый,2023-10-27,6.2,33.0,Екатеринбург,нет,да,OWN028,6.2,2023.0,10.0,4.0,6200.0,True,M,крупный,0.33,русская голубая
CAT024,Кира,норвежская лесная,кошка,серый,2025-02-23,3.9,30.0,Казань,нет,да,OWN033,3.9,2025.0,2.0,6.0,3900.0,False,F,легкий,0.3,норвежская лесная
CAT025,Марс,мейн-кун,кот,кремовый,2016-03-20,6.6,36.0,Новосибирск,да,нет,OWN038,6.6,2016.0,3.0,6.0,6600.0,True,M,крупный,0.36,мейн-кун
CAT026,Соня,британская короткошёрстная,кошка,колор-пойнт,2020-12-01,3.9,27.0,Екатеринбург,да,да,OWN043,3.9,2020.0,12.0,1.0,3900.0,False,F,легкий,0.27,британская короткошёрстная
CAT027,Ася,шотландская вислоухая,кот,белый,2020-05-19,4.3,28.0,Новосибирск,да,нет,OWN048,4.3,2020.0,5.0,1.0,4300.0,False,M,средний,0.28,шотландская вислоухая
CAT028,Граф,сибирская,кошка,черепаховый,2022-08-31,7.1,35.0,Москва,нет,да,OWN053,7.1,2022.0,8.0,2.0,7100.0,True,F,крупный,0.35,сибирская
CAT029,Ириска,сиамская,кот,колор-пойнт,2024-09-22,,28.0,Санкт-Петербург,нет,да,OWN058,5.15,2024.0,9.0,6.0,,,M,нет данных,0.28,сиамская
CAT030,Кира,канадский сфинкс,кошка,колор-пойнт,2016-07-06,4.8,30.0,Екатеринбург,нет,нет,OWN063,4.8,2016.0,7.0,2.0,4800.0,False,F,средний,0.3,канадский сфинкс
CAT031,Снежок,бенгальская,кот,чёрный,2019-06-12,4.4,32.0,Омск,да,да,OWN068,4.4,2019.0,6.0,2.0,4400.0,False,M,средний,0.32,бенгальская
CAT032,Алиса,персидская,кошка,колор-пойнт,2023-08-09,,29.0,Москва,да,нет,OWN073,5.15,2023.0,8.0,2.0,,,F,нет данных,0.29,персидская
CAT033,Луна,рэгдолл,кот,кремовый,2017-10-28,8.4,38.0,Омск,да,да,OWN078,8.4,2017.0,10.0,5.0,8400.0,True,M,крупный,0.38,рэгдолл
CAT034,Лео,абиссинская,кошка,серый,2019-04-02,3.5,29.0,Санкт-Петербург,нет,да,OWN083,3.5,2019.0,4.0,1.0,3500.0,False,F,легкий,0.29,абиссинская
CAT035,Кнопа,русская голубая,кот,,2019-12-10,5.9,34.0,Томск,нет,нет,OWN005,5.9,2019.0,12.0,1.0,5900.0,False,M,средний,0.34,русская голубая
CAT036,Кузя,норвежская лесная,кошка,голубой,2022-01-19,5.0,31.0,Москва,нет,да,OWN010,5.0,2022.0,1.0,2.0,5000.0,False,F,средний,0.31,норвежская лесная
CAT037,Кузя,мейн-кун,кот,чёрный,2023-03-06,6.2,35.0,Санкт-Петербург,да,нет,OWN015,6.2,2023.0,3.0,0.0,6200.0,True,M,крупный,0.35,мейн-кун
CAT038,Том,британская короткошёрстная,кошка,серебристый,2020-04-18,7.3,38.0,Казань,да,да,,7.3,2020.0,4.0,5.0,7300.0,True,F,крупный,0.38,британская короткошёрстная
CAT039,Плюша,шотландская вислоухая,кот,табби,2019-11-10,4.9,30.0,Томск,да,да,OWN025,4.9,2019.0,11.0,6.0,4900.0,False,M,средний,0.3,шотландская вислоухая
CAT040,Соня,сибирская,кошка,кремовый,2018-12-19,4.9,30.0,Красноярск,нет,нет,OWN030,4.9,2018.0,12.0,2.0,4900.0,False,F,средний,0.3,сибирская
CAT041,Плюша,сиамская,кот,белый,2019-02-04,4.8,31.0,Санкт-Петербург,нет,да,OWN035,4.8,2019.0,2.0,0.0,4800.0,False,M,средний,0.31,сиамская
CAT042,Симба,канадский сфинкс,кошка,рыжий,2020-06-01,3.5,26.0,Москва,нет,нет,OWN040,3.5,2020.0,6.0,0.0,3500.0,False,F,легкий,0.26,канадский сфинкс
CAT043,Граф,бенгальская,кот,колор-пойнт,2021-12-02,7.3,38.0,Екатеринбург,да,да,OWN045,7.3,2021.0,12.0,3.0,7300.0,True,M,крупный,0.38,бенгальская
