cat_id,name,breed,sex,color,birth_date,weight_kg,height_cm,city,vaccinated,sterilized,owner_id
CAT001,Лео,Мейн-кун,кот,рыжий,2021-11-24,8.4,37,Томск,да,да,OWN001
CAT002,Лео,Британская короткошёрстная,кошка,рыжий,2016-09-04,4.4,31,Москва,Да ,нет,OWN006
CAT003,Злата,Шотландская вислоухая,кот,табби,2024-04-01,6.3,35,Москва,ДА,да,OWN011
CAT004,Мия,Сибирская,кошка,табби,2024-09-06,5.2,33,Санкт-Петербург,нет,да,OWN016
CAT005,Кира,Сиамская,кот,серый,2023-09-27,,29,Екатеринбург,Нет ,нет,OWN021
CAT006,Плюша,Канадский сфинкс,кошка,серебристый,2018-09-13,4.4,30,Томск,НЕТ,да,OWN026
CAT007,Ириска,Бенгальская,кот,белый,2018-05-07,"4,9",32,Новосибирск,да,нет,OWN031
CAT008,Том,Персидская,кошка,чёрный,2020-10-22,3.3,26,Казань,Да ,да,OWN036
CAT009,Луна,  Рэгдолл ,кот,рыжий,2016-08-13,5.3,33,Томск,ДА,да,OWN041
CAT010,Ника,Абиссинская,кошка,,2019-06-26,3.6,29,Красноярск,нет,нет,OWN046
CAT011,Соня,Русская голубая,кот,голубой,2019-03-23,4.7,32,Санкт-Петербург,Нет ,да,OWN051
CAT012,Марта,Норвежская лесная,кошка,белый,2023-04-07,7.8,39,Екатеринбург,НЕТ,нет,OWN056
CAT013,Плюша,Мейн-кун,кот,чёрный,2022-03-30,5.4,31,Томск,да,да,OWN061
CAT014,Луна,Британская короткошёрстная,кошка,табби,2024-02-11,6.0,33,Новосибирск,Да ,да,
CAT015,Кира,Шотландская вислоухая,кот,чёрный,2020-12-08,3.8,27,Новосибирск,ДА,нет,OWN071
CAT016,Марта,Сибирская,кошка,чёрный,2022-03-31,4.1,29,Санкт-Петербург,нет,да,OWN076
CAT017,Ириска,Сиамская,кот,кремовый,2023-12-06,3.4,26,Красноярск,Нет ,нет,OWN081
CAT018,Персик,Канадский сфинкс,кошка,черепаховый,31.02.2021,4.0,30,Москва,НЕТ,да,OWN003
CAT019,Кира,Бенгальская,кот,рыжий,2024-04-12,4.4,30,Новосибирск,да,да,OWN008
CAT020,Соня,Персидская,кошка,кремовый,2023-12-18,,30,Санкт-Петербург,Да ,нет,OWN013
CAT021,Кира,Рэгдолл,кот,черепаховый,2024-05-17,5.0,32,Екатеринбург,ДА,да,OWN018
CAT022,Граф,Абиссинская,кошка,кремовый,2018-03-13,5.3,30,Москва,нет,нет,OWN023
CAT023,Ириска,Русская голубая,кот,белый,2023-10-27,"6,2",33,Екатеринбург,Нет ,да,OWN028
CAT024,Кира,Норвежская лесная,кошка,серый,2025-02-23,3.9,30,Казань,НЕТ,да,OWN033
CAT025,Марс,Мейн-кун,кот,кремовый,2016-03-20,6.6,36,Новосибирск,да,нет,OWN038
CAT026,Соня,британская короткошёрстная,кошка,колор-пойнт,2020-12-01,3.9,27,Екатеринбург,Да ,да,OWN043
CAT027,Ася,Шотландская вислоухая,кот,белый,2020-05-19,4.3,28,Новосибирск,ДА,нет,OWN048
CAT028,Граф,Сибирская,кошка,черепаховый,2022-08-31,7.1,35,Москва,нет,да,OWN053
CAT029,Ириска,Сиамская,кот,колор-пойнт,2024-09-22,,28,Санкт-Петербург,Нет ,да,OWN058
CAT030,Кира,Канадский сфинкс,кошка,колор-пойнт,2016-07-06,4.8,30,Екатеринбург,НЕТ,нет,OWN063
CAT031,Снежок,Бенгальская,кот,чёрный,2019-06-12,4.4,32,Омск,да,да,OWN068
CAT032,Алиса,Персидская,кошка,колор-пойнт,2023-08-09,нет данных,29,Москва,Да ,нет,OWN073
CAT033,Луна,Рэгдолл,кот,кремовый,2017-10-28,8.4,38,Омск,ДА,да,OWN078
CAT034,Лео,Абиссинская,кошка,серый,2019-04-02,3.5,29,Санкт-Петербург,нет,да,OWN083
CAT035,Кнопа,Русская голубая,кот,,2019-12-10,5.9,34,Томск,Нет ,нет,OWN005
CAT036,Кузя,Норвежская лесная,кошка,голубой,2022-01-19,5.0,31,Москва,НЕТ,да,OWN010
CAT037,Кузя,Мейн-кун,кот,чёрный,2023-03-06,6.2,35,Санкт-Петербург,да,нет,OWN015
CAT038,Том,Британская короткошёрстная,кошка,серебристый,2020-04-18,7.3,38,Казань,Да ,да,
CAT039,Плюша,Шотландская вислоухая,кот,табби,2019-11-10,4.9,30,Томск,ДА,да,OWN025
CAT040,Соня,Сибирская,кошка,кремовый,2018-12-19,"4,9",30,Красноярск,нет,нет,OWN030
CAT041,Плюша,Сиамская,кот,белый,2019-02-04,4.8,31,Санкт-Петербург,Нет ,да,OWN035
CAT042,Симба,Канадский сфинкс,кошка,рыжий,2020-06-01,3.5,26,Москва,НЕТ,нет,OWN040
CAT043,Граф,Бенгальская,кот,колор-пойнт,2021-12-02,7.3,38,Екатеринбург,да,да,OWN045
CAT044,Оскар,  Персидская ,кошка,чёрный,2016-10-11,5.8,35,Москва,Да ,да,OWN050
CAT045,Буся,Рэгдолл,кот,голубой,2020-01-14,9.1,39,Новосибирск,ДА,нет,OWN055
CAT046,Снежок,Абиссинская,кошка,,2022-09-27,2.9,27,Москва,нет,да,OWN060
CAT047,Злата,Русская голубая,кот,белый,2024-01-09,,29,Красноярск,Нет ,нет,OWN065
CAT048,Том,Норвежская лесная,кошка,кремовый,2017-01-22,8.5,38,Красноярск,НЕТ,да,OWN070
CAT049,Алиса,Мейн-кун,кот,серебристый,2025-03-09,9.1,39,Екатеринбург,да,да,OWN075
CAT050,Ириска,Британская короткошёрстная,кошка,колор-пойнт,2024-03-26,6.3,34,Красноярск,Да ,нет,OWN080
CAT051,Ася,Шотландская вислоухая,кот,колор-пойнт,2020-06-20,3.5,27,Казань,ДА,да,OWN002
CAT052,Снежок,Сибирская,кошка,серебристый,2017-06-04,6.1,33,Москва,нет,нет,OWN007
CAT053,Симба,Сиамская,кот,колор-пойнт,2022-05-05,5.5,,Новосибирск,Нет ,да,OWN012
CAT054,Лео,Канадский сфинкс,кошка,колор-пойнт,2024-06-12,5.1,32,Москва,НЕТ,да,OWN017
CAT055,Мия,Бенгальская,кот,рыжий,2020-01-04,6.2,33,Томск,да,нет,OWN022
CAT056,Том,Персидская,кошка,черепаховый,2021-03-15,"3,6",29,Москва,Да ,да,OWN027
CAT057,Ириска,Рэгдолл,кот,серебристый,2018-08-21,6.1,33,Красноярск,ДА,нет,OWN032
CAT058,Ричи,Абиссинская,кошка,серый,2020-05-25,3.0,25,Москва,нет,да,OWN037
CAT059,Лео,Русская голубая,кот,голубой,2021-04-28,,33,Новосибирск,Нет ,да,OWN042
CAT060,Лиза,Норвежская лесная,кошка,серебристый,2017-04-02,8.7,40,Новосибирск,НЕТ,нет,OWN047
CAT061,Лиза,Мейн-кун,кот,табби,2021-03-03,5.9,35,Томск,да,да,OWN052
CAT062,Феликс,Британская короткошёрстная,кошка,белый,2016-07-08,6.2,34,Томск,Да ,нет,
CAT063,Ричи,Шотландская вислоухая,кот,серый,2023-04-27,3.4,29,Омск,ДА,да,OWN062
CAT064,Злата,Сибирская,кошка,рыжий,нет даты,6.0,34,Томск,нет,да,OWN067
CAT065,Мурка,Сиамская,кот,серый,2024-04-25,5.1,32,Красноярск,Нет ,нет,OWN072
CAT066,Снежок,Канадский сфинкс,кошка,кремовый,2019-06-21,2.9,27,Новосибирск,НЕТ,да,OWN077
CAT067,Алиса,Бенгальская,кот,,2018-04-22,4.8,31,Томск,да,нет,OWN082
CAT068,Марта,Персидская,кошка,рыжий,2019-01-27,нет данных,27,Новосибирск,Да ,да,OWN004
CAT069,Соня,Рэгдолл,кот,белый,2021-04-15,4.9,31,Красноярск,ДА,да,OWN009
CAT070,Мурка,абиссинская,кошка,рыжий,2021-01-21,4.6,31,Казань,нет,нет,OWN014
CAT071,Мурка,Русская голубая,кот,белый,2019-08-18,"6,3",35,Санкт-Петербург,Нет ,да,OWN019
CAT072,Феликс,Норвежская лесная,кошка,чёрный,2023-11-18,4.0,29,Санкт-Петербург,НЕТ,нет,OWN024
CAT073,Мия,Мейн-кун,кот,белый,2019-03-20,,34,Санкт-Петербург,да,да,OWN029
CAT074,Соня,Британская короткошёрстная,кошка,рыжий,2024-10-18,5.0,31,Москва,Да ,да,OWN034
CAT075,Кнопа,Шотландская вислоухая,кот,рыжий,2021-05-09,5.6,34,Санкт-Петербург,ДА,нет,OWN039
CAT076,Марс,Сибирская,кошка,черепаховый,2019-12-04,5.9,34,Омск,нет,да,OWN044
CAT077,Марс,Сиамская,кот,кремовый,2021-04-13,5.7,32,Екатеринбург,Нет ,нет,OWN049
CAT078,Тиша,Канадский сфинкс,кошка,табби,2017-03-20,5.2,33,Томск,НЕТ,да,OWN054
CAT079,Ричи,Бенгальская,кот,серый,2022-01-16,4.9,30,Екатеринбург,да,да,OWN059
CAT080,Соня,Персидская,кошка,рыжий,2020-10-10,5.7,33,Красноярск,Да ,нет,OWN064
CAT081,Оскар,Рэгдолл,кот,серый,2019-06-11,7.3,38,Екатеринбург,ДА,да,OWN069
CAT082,Кира,Абиссинская,кошка,серый,2019-05-02,4.5,29,Екатеринбург,нет,нет,OWN074
CAT083,Кира,Русская голубая,кот,,2016-12-18,6.1,36,Москва,Нет ,да,OWN079
CAT084,Кузя,Норвежская лесная,кошка,колор-пойнт,2020-01-08,7.5,37,Екатеринбург,НЕТ,да,OWN001
CAT085,Мурка,  Мейн-кун ,кот,табби,2023-01-25,8.2,37,Санкт-Петербург,да,нет,OWN006
CAT086,Том,Британская короткошёрстная,кошка,голубой,2022-10-16,6.5,34,Омск,Да ,да,OWN011
CAT087,Соня,Шотландская вислоухая,кот,рыжий,2023-02-03,5.3,32,Казань,ДА,нет,OWN016
CAT088,Макс,Сибирская,кошка,голубой,2023-12-13,5.5,31,Красноярск,нет,да,OWN021
CAT089,Ричи,Сиамская,кот,серый,2017-11-02,"3,9",28,Новосибирск,Нет ,да,OWN026
CAT090,Барсик,Канадский сфинкс,кошка,табби,2020-05-26,3.1,28,Санкт-Петербург,НЕТ,нет,
CAT091,Снежок,Бенгальская,кот,колор-пойнт,2019-08-26,6.8,35,Омск,да,да,OWN036
CAT092,Злата,Персидская,кошка,чёрный,2024-07-23,,31,Казань,Да ,нет,OWN041
CAT093,Соня,Рэгдолл,кот,колор-пойнт,2020-01-03,6.6,33,Новосибирск,ДА,да,OWN046
CAT094,Ричи,Абиссинская,кошка,белый,2018-02-17,нет данных,31,Красноярск,нет,да,OWN051
CAT095,Ириска,Русская голубая,кот,голубой,2021-12-06,3.8,28,Казань,Нет ,нет,OWN056
CAT096,Марс,Норвежская лесная,кошка,колор-пойнт,2021-07-22,8.2,,Москва,НЕТ,да,OWN061
CAT097,Ника,Мейн-кун,кот,черепаховый,2019-11-25,6.3,32,Екатеринбург,да,нет,OWN066
CAT098,Барсик,Британская короткошёрстная,кошка,колор-пойнт,2018-12-26,5.2,31,Омск,Да ,да,OWN071
CAT099,Ася,Шотландская вислоухая,кот,,2022-10-15,3.4,27,Екатеринбург,ДА,да,OWN076
CAT100,Соня,Сибирская,кошка,колор-пойнт,2020-03-25,6.9,34,Казань,нет,нет,OWN081
CAT101,Оскар,Сиамская,кот,серебристый,2019-05-17,3.8,29,Казань,Нет ,да,OWN003
CAT102,Луна,Канадский сфинкс,кошка,голубой,2022-13-05,4.8,32,Казань,НЕТ,нет,OWN008
CAT103,Кира,Бенгальская,кот,серебристый,2020-12-17,4.8,32,Омск,да,да,OWN013
CAT104,Буся,Персидская,кошка,серебристый,2016-07-15,4.3,29,Красноярск,Да ,да,OWN018
CAT105,Том,Рэгдолл,кот,серебристый,2020-12-07,4.9,31,Томск,ДА,нет,OWN023
CAT106,Мия,абиссинская,кошка,голубой,2021-06-27,4.2,30,Новосибирск,нет,да,OWN028
CAT107,Лео,Русская голубая,кот,чёрный,2022-05-31,5.0,30,Санкт-Петербург,Нет ,нет,OWN033
CAT108,Марс,Норвежская лесная,кошка,рыжий,2022-01-12,5.9,35,Томск,НЕТ,да,OWN038
CAT109,Мия,Мейн-кун,кот,кремовый,2022-10-24,9.2,42,Томск,да,да,OWN043
CAT110,Ника,Британская короткошёрстная,кошка,серебристый,2023-10-23,нет данных,33,Москва,Да ,нет,OWN048
CAT111,Тиша,Шотландская вислоухая,кот,кремовый,2020-07-28,5.4,32,Омск,ДА,да,OWN053
CAT112,Тиша,Сибирская,кошка,черепаховый,2024-04-29,4.5,30,Томск,нет,нет,OWN058
CAT113,Луна,Сиамская,кот,серый,2020-09-11,4.3,30,Томск,Нет ,да,
CAT114,Симба,Канадский сфинкс,кошка,колор-пойнт,2022-07-07,4.7,29,Казань,НЕТ,да,OWN068
CAT115,Симба,Бенгальская,кот,чёрный,2020-01-30,,30,Екатеринбург,да,нет,OWN073
CAT116,Лео,Персидская,кошка,белый,2021-05-09,5.5,32,Новосибирск,Да ,да,OWN078
CAT117,Лео,Рэгдолл,кот,,2023-07-22,6.1,35,Москва,ДА,нет,OWN083
CAT118,Марс,Абиссинская,кошка,серый,2024-04-06,"4,5",28,Томск,нет,да,OWN005
CAT119,Тиша,Русская голубая,кот,черепаховый,2024-12-26,4.5,30,Томск,Нет ,да,OWN010
CAT120,Том,Норвежская лесная,кошка,голубой,2021-03-12,6.9,37,Москва,НЕТ,нет,OWN015
